[4557, 4762, 4391,  968, 2021, 3419,  673, 2595, 3422,  606, 3724,
3615, 3912, 4531, 2663, 3549, 3291, 4791, 1854, 2091, 3821, 2779,
3504, 1230,  248, 4234,  828, 1979,  732, 4588, 2197, 1613,  830,
4073, 1082, 1597, 4513, 3757, 3352, 3821, 3383, 1435, 4536, 4349,
4320,  764,  451, 3672, 3730, 2113,  365, 1276, 1525, 4958, 4243,
4298, 4441, 2720, 1101, 3235, 1743,  161, 3946, 2914, 3696, 1045,
  3, 2695, 4372,  141,  610, 3112,   90, 1354, 3759, 2041, 3460,
4698, 1870,  153, 4339,  433, 2071,  427,   89, 4067, 4774, 1458,
4262, 4653, 3601, 1095,  530, 4062, 4905,   89,  641, 2219, 3313,
3762, 3469, 3635, 4859, 1844, 4132, 3122, 4733,  974, 2180, 1894,
3659, 1414, 2258,   19, 2890, 1402, 1636,  384, 2072, 2493, 1993,
3301, 2084, 2350, 3809, 2941, 4651, 4119, 2292, 2122,  340, 1872,
3172,  250, 2657,  457,  540, 3513, 1842, 3244, 3707,  977, 2992,
1961,  971, 3328,  585, 2170,   98, 1070,  983, 4145, 2368, 4828,
2164, 4507, 3108, 2592, 4927, 2011,  921, 2468, 4325, 3593, 2461,
290, 2424, 2588, 1857, 3468, 3218,  987, 2654, 1497, 3704, 2708,
1066, 4657, 2954, 3039, 3322, 1004, 3331, 3856, 3356, 1100, 3830,
3431,  845, 2076,  116,   47, 1158,  299, 4148,  592,  112, 1813,
1140, 3817, 2816, 1715, 4728,  594, 3171, 1400, 4186, 1525, 2084,
3595, 1999, 2010, 2434, 2840, 2340, 2184, 4822, 3224, 3484, 1995,
3109,  938, 4428, 1055, 2370, 4430, 1930, 2034, 2159, 2870, 4888,
942, 4454, 4494, 1899, 2451, 4474,  247, 3377,  679, 2572, 1827,
1122, 1979,  193,  990, 1106, 3774, 1957, 2179, 4517, 1125, 1073,
3962, 3858, 2333, 2146, 1984, 2441, 4588,  591, 1558, 4233, 2856,
4461, 1476, 2442, 3784, 1660, 1923,  979,  886, 4133,  855,  966,
2010, 2552, 1369, 2990, 4943, 1412, 4971, 4878,  161, 1770, 4101,
1591, 2582, 1847, 4951,  647, 1567, 1122, 1808,  987, 3143, 1744,
4931, 4850, 2411, 3894, 1677, 3021,  629, 1060, 4953, 3646, 2945,
2821, 2024, 1456, 1476, 3215, 4839, 2806, 3848, 2968, 3074, 4473,
4440,  859, 2981, 3040, 4833, 4809, 2194, 2208, 3025,  223, 2675,
185, 1787,  919, 2889, 4436, 4315, 4077, 2914, 2468, 4477, 3541,
1819, 4772, 1459, 4392, 3031, 4081, 2686, 2683, 4684, 3538, 2154,
2907, 2920, 2233, 1978, 4064, 2978, 2961, 1429, 2093,  639,  954,
3147, 3503, 1704, 3616, 2119, 2865, 4730, 3906, 2808, 2526, 2066,
1297, 1135, 1454, 1955, 3263, 3214,  829, 1450, 3460, 3625, 1901,
3412, 4203, 3666,  581, 2227, 3411, 3502, 1424, 3123, 4296,   19,
4936, 3730, 2163, 4843, 1914, 2292, 4999,  963, 4125, 4713, 2829,
3731, 2047,  675, 4426, 1846, 2004, 2115, 4152, 4259,   42, 2485,
2558, 4603,  116, 3910, 3081, 1078,   60, 1134, 4736, 3063,  539,
2457,  557, 1538, 4507,  310, 4193, 3210, 1275, 4137,  732,  870,
2574, 1446,  152, 3303, 3571, 2157, 1467, 3481, 2216, 2032, 2858,
3322,  582, 2414, 2086, 2124, 3692,  631,  583,  320, 1278, 4250,
3631, 1024, 2884,  432, 4926, 4039, 3431,  212, 2174,  692, 3838,
2738,  400, 3992, 2491,  158, 3447, 4306, 3702, 3284, 3633,  522,
2058, 3685, 4306, 3140, 3074, 2782, 4873, 3068, 1287, 3661, 2313,
4857, 3009, 4413, 1499,  706]
